Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2473657	"EPNPFB_ID00080_1; reanalysis of GSM2306133"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473657/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473658	"EPNPFB_ID00110_1; reanalysis of GSM2306134"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473658/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473659	"EPNPFB_ID00246_1; reanalysis of GSM2306135"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473659/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473660	"EPNPFB_ID00364_1; reanalysis of GSM2306136"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473660/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473661	"EPNPFB_ID00392_1; reanalysis of GSM2306137"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473661/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473662	"EPNPFB_ID00419_1; reanalysis of GSM2306138"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473662/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473663	"EPNPFB_ID00483_1; reanalysis of GSM2306139"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473663/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473664	"EPNPFB_ID00700_1; reanalysis of GSM2306140"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473664/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473665	"EPNPFB_ID00723_1; reanalysis of GSM2306141"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473665/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473666	"EPNPFB_ID00811_1_AMBION; reanalysis of GSM2306142"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473666/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473667	"EPNPFB_ID00811_4_AMBION; reanalysis of GSM2306143"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473667/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473668	"EPNPFB_ID00811_5_AMBION; reanalysis of GSM2306144"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473668/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473669	"EPNST_ID00135_1; reanalysis of GSM2306145"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473669/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473670	"EPNST_ID00285_1; reanalysis of GSM2306146"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473670/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473671	"EPNST_ID00333_1; reanalysis of GSM2306147"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473671/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473672	"EPNST_ID00388_1; reanalysis of GSM2306148"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473672/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473673	"EPNST_ID00416_1; reanalysis of GSM2306149"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473673/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473674	"GBM_ID00000_1; reanalysis of GSM2306154"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473674/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473675	"GBM_ID00057_1; reanalysis of GSM2306155"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473675/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473676	"GBM_ID00089_1_AMBION; reanalysis of GSM2306156"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473676/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473677	"GBM_ID00098_1; reanalysis of GSM2306157"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473677/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473678	"GBM_ID00271_1; reanalysis of GSM2306158"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473678/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473679	"GBM_ID00281_1; reanalysis of GSM2306159"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473679/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473680	"GBM_ID00309_1; reanalysis of GSM2306160"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473680/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473681	"GBM_ID00391_1; reanalysis of GSM2306161"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473681/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473682	"GBM_ID00434_1; reanalysis of GSM2306162"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473682/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473683	"GBM_ID00637_1; reanalysis of GSM2306163"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473683/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473684	"GG_ID00199_AMBION; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473684/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473685	"GG_ID00212_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473685/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473686	"GG_ID00380_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473686/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473687	"GG_ID00484_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473687/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473688	"GG_ID00487_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473688/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473689	"GG_ID00683_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473689/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473690	"GG_ID00713_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473690/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473691	"GG_ID00749_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473691/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473692	"GG_ID00763_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473692/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473693	"GG_ID00932_2_AMBION; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473693/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473694	"GG_ID01116_1_AMBION; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473694/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473695	"GG_ID01152_1_AMBION; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473695/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473696	"GG_XX00001_1; analysis of ganglioglioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473696/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473697	"MEDGP3_ID00231_1; reanalysis of GSM2306169"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473697/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473698	"MEDGP3_ID00241_1; reanalysis of GSM2306170"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473698/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473699	"MEDGP3_ID00277_1; reanalysis of GSM2306171"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473699/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473700	"MEDGP3_ID00401_1; reanalysis of GSM2306172"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473700/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473701	"MEDGP3_ID00676_1_AMBION; reanalysis of GSM2306173"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473701/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473702	"MEDGP4_ID00186_1; reanalysis of GSM2306174"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473702/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473703	"MEDGP4_ID00254_1; reanalysis of GSM2306175"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473703/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473704	"MEDGP4_ID00262_1; reanalysis of GSM2306176"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473704/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473705	"MEDGP4_ID00330_1; reanalysis of GSM2306177"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473705/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473706	"MEDGP4_ID00437_1; reanalysis of GSM2306178"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473706/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473707	"MEDSHH_ID00258_1; reanalysis of GSM2306179"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473707/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473708	"MEDSHH_ID00288_1; reanalysis of GSM2306180"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473708/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473709	"MEDSHH_ID00719_1_AMBION; reanalysis of GSM2306181"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473709/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473710	"MEDSHH_ID00801_1_AMBION; reanalysis of GSM2306182"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473710/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473711	"MEDSHH_ID00831_1_AMBION; reanalysis of GSM2306183"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473711/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473712	"MEN_ID00634_1; reanalysis of GSM1661035"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473712/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473713	"MEN_ID00711_1; reanalysis of GSM1661036"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473713/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473714	"MEN_ID00762_1; reanalysis of GSM1661037"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473714/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473715	"MEN_ID01186_1_AMBION; analysis of meningioma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473715/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473716	"NORMAL_E00003_Frontal_1; reanalysis of GSM2306185"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473716/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473717	"NORMAL_E00005_Hippocampus_1; analysis of normal brain hippocampus"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473717/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473718	"NORMAL_E00006_Hippocampus_1; analysis of normal brain hippocampus"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473718/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473719	"NORMAL_E00024_Hippocampus_1; analysis of normal brain hippocampus"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473719/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473720	"NORMAL_ID00514_Cerebellum; reanalysis of GSM2306186"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473720/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473721	"NORMAL_ID00514_ChoroidPlexus; reanalysis of GSM1661052"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473721/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473722	"NORMAL_ID00514_Frontal; reanalysis of GSM2306187"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473722/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473723	"NORMAL_ID00514_LumbarCord; analysis of normal brain lumbar cord"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473723/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473724	"NORMAL_ID00514_Medulla_AMBION; reanalysis of GSM1661054"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473724/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473725	"NORMAL_ID00514_Midbrain_AMBION; reanalysis of GSM1661055"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473725/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473726	"NORMAL_ID00514_Occipital_AMBION; reanalysis of GSM1661056"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473726/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473727	"NORMAL_ID00514_Parietal_AMBION; reanalysis of GSM1661057"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473727/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473728	"NORMAL_ID00514_Temporal_AMBION; reanalysis of GSM2306188"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473728/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473729	"NORMAL_ID00514_Thal; reanalysis of GSM1661059"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473729/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473730	"NORMAL_ID00605_Cerebellum_AMBION; reanalysis of GSM2306189"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473730/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473731	"NORMAL_ID00605_ChoroidPlexus_1; reanalysis of GSM1661061"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473731/suppl"		"Andrew M Donson"	"Feb 01, 2017"
